2023-05-01 00:24:26,348 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 00:25:25,448 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 00:28:55,046 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 00:56:29,761 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 00:59:40,913 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 01:01:21,888 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 01:03:26,618 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 01:03:50,799 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 01:04:43,217 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 01:07:38,138 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 01:08:30,154 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:47 | load data...

2023-05-01 10:25:41,693 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:26:31,284 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:29:50,360 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:30:39,192 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:31:23,842 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:32:07,252 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:32:57,515 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:34:49,038 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:35:53,306 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:38:14,198 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#trainModelCNN1:200 | 模型训练完成

2023-05-01 10:41:45,891 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:44:35,403 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:46:02,845 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:49:14,004 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:51:48,603 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:52:09,677 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:54:35,387 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#trainModelCNN1:202 | 模型训练完成

2023-05-01 10:54:56,722 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:48 | load data...

2023-05-01 10:57:17,703 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#trainModelCNN1:201 | 模型训练完成

2023-05-01 11:29:17,853 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:52 | load data...

2023-05-01 11:32:54,911 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#trainModelCNN:112 | train cnn...

2023-05-01 11:32:54,916 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:52 | load data...

2023-05-01 11:34:20,542 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#trainModelCNN:112 | train cnn...

2023-05-01 11:34:20,551 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:52 | load data...

2023-05-01 11:35:59,507 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#trainModelCNN:112 | train cnn...

2023-05-01 11:35:59,517 | INFO | D:\Project\Money\flaskTemplate\torch_model\Train.py#loadData:52 | load data...

